customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,cluster
AS-10285,3187,6,3214.24,5,3,4,12,1
AS-10630,3260,7,833.41,3,3,1,7,1
AT-10435,3189,6,1171.8100000000002,5,3,2,10,1
AT-10735,3181,10,3831.87,5,5,4,14,0
AW-10840,3188,4,649.37,5,1,1,7,1
AW-10930,3214,7,2852.95,4,3,4,11,0
AY-10555,3182,4,497.02,5,1,1,7,1
AZ-10750,3328,6,1622.03,2,3,2,7,1
BB-10990,3273,5,744.3299999999999,2,2,1,5,1
BB-11545,3196,9,6765.73,4,5,5,14,2
BC-11125,3370,9,2933.67,2,5,4,11,0
BD-11320,3201,12,5718.53,4,5,5,14,0
BD-11500,3203,6,4411.25,4,3,5,12,0
BD-11560,3446,2,320.54,1,1,1,3,1
BD-11605,3265,7,3288.48,3,3,4,10,0
BD-11620,3237,6,1538.12,3,3,2,8,1
BD-11635,3177,3,582.65,5,1,1,7,1
BD-11725,3261,6,1526.5,3,3,2,8,1
BD-11770,3495,6,658.46,1,3,1,5,1
BE-11335,3287,5,4204.68,2,2,4,8,1
BE-11410,3266,5,2261.44,3,2,3,8,1
BE-11455,3422,6,1727.6499999999999,1,3,2,6,1
BF-10975,3259,7,599.79,3,3,1,7,1
BF-11005,3207,4,1333.8899999999999,4,1,2,7,1
BF-11020,3242,8,2888.5,3,4,4,11,0
BF-11080,3193,3,272.95,5,1,1,7,1
BF-11170,3184,11,5907.97,5,5,5,15,0
BF-11215,3233,4,1585.17,3,1,2,6,1
BF-11275,3225,3,791.99,3,1,1,5,1
BG-11035,3196,8,2798.96,4,4,4,12,0
BG-11695,3204,6,1874.18,4,3,3,10,1
BG-11740,3225,6,1006.35,3,3,2,8,1
BH-11710,3191,8,6255.34,5,4,5,14,0
BK-11260,3245,6,659.15,3,3,1,7,1
BM-11140,3475,4,11789.64,1,1,5,7,2
BM-11575,3268,6,808.16,3,3,1,7,1
BM-11650,3201,11,7294.18,4,5,5,14,2
BM-11785,3386,10,1338.82,2,5,2,9,0
BN-11470,3192,4,265.31,5,1,1,7,1
BN-11515,3177,5,1459.3400000000001,5,2,2,9,1
BO-11350,3305,5,2682.73,2,2,3,7,1
BO-11425,3243,2,130.83,3,1,1,5,1
BP-11050,3251,5,983.42,3,2,2,7,1
BP-11095,3185,12,2442.05,5,5,3,13,0
BP-11155,3257,6,1697.87,3,3,2,8,1
BP-11185,3169,9,3675.86,5,5,4,14,0
BP-11230,3207,5,1181.49,4,2,2,8,1
BP-11290,3180,7,2475.16,5,3,3,11,0
BS-11365,3726,5,10501.650000000001,1,2,5,8,2
BS-11380,3196,5,3887.8199999999997,4,2,4,10,1
BS-11590,3203,6,2454.9300000000003,4,3,3,10,1
BS-11665,3750,3,3288.12,1,1,4,6,3
BS-11755,3169,7,2562.38,5,3,3,11,0
BS-11800,3433,2,949.4300000000001,1,1,1,3,1
BT-11305,3504,5,2567.66,1,2,3,6,1
BT-11395,3470,6,2186.61,1,3,3,7,1
BT-11440,3728,4,603.87,1,1,1,3,3
BT-11485,3827,2,415.19999999999993,1,1,1,3,3
BT-11530,3259,5,2684.5,3,2,3,8,1
BT-11680,3188,7,3196.75,5,3,4,12,0
BV-11245,3502,5,1523.28,1,2,2,5,1
BW-11065,3380,3,385.51,2,1,1,4,1
BW-11110,3289,8,4750.360000000001,2,4,5,11,0
BW-11200,3371,6,1738.41,2,3,2,7,1
CA-11965,3264,6,3789.7200000000003,3,3,4,10,1
CA-12055,3569,5,1679.72,1,2,2,5,3
CA-12265,3224,9,2648.29,3,5,3,11,0
CA-12310,3181,4,1421.96,5,1,2,8,1
CA-12775,3288,7,3041.58,2,3,4,9,0
CB-12025,3215,10,6076.15,4,5,5,14,0
CB-12415,3194,8,1949.21,5,4,3,12,0
CB-12535,3365,8,4246.46,2,4,4,10,0
CC-12100,3625,6,1770.9499999999998,1,3,3,7,3
CC-12145,3274,7,2471.65,2,3,3,8,0
CC-12220,3188,12,3913.43,5,5,4,14,0
CC-12370,3211,5,12129.08,4,2,5,11,2
CC-12430,3168,10,2870.05,5,5,4,14,0
CC-12475,3207,9,1659.45,4,5,2,11,0
CC-12550,3195,3,113.84,4,1,1,6,1
CC-12610,3202,7,2540.63,4,3,3,10,0
CC-12670,3197,7,2269.69,4,3,3,10,0
CC-12685,3967,4,2854.12,1,1,4,6,3
CD-11920,3208,5,2033.97,4,2,3,9,1
CD-11980,3222,3,639.76,3,1,1,5,1
CD-12280,3210,2,1205.58,4,1,2,7,1
CD-12790,3567,5,1860.74,1,2,3,6,3
CG-12040,3217,6,904.48,4,3,1,8,1
CG-12520,3506,3,1148.78,1,1,2,4,3
CH-12070,3859,3,1537.24,1,1,2,4,3
CJ-11875,3533,1,16.52,1,1,1,3,3
CJ-12010,3357,8,11164.97,2,4,5,11,2
CK-12205,3207,13,3154.83,4,5,4,13,0
CK-12325,3288,5,2945.32,2,2,4,8,1
CK-12595,3211,11,2372.75,4,5,3,12,0
CK-12760,3250,9,1582.1100000000001,3,5,2,10,0
CL-11890,3274,4,1262.01,2,1,2,5,1
CL-12565,3452,12,10880.56,1,5,5,11,2
CL-12700,3273,5,2353.59,2,2,3,7,1
CM-11815,3299,6,1673.89,2,3,2,7,1
CM-11935,3876,2,565.39,1,1,1,3,3
CM-12115,3176,4,1661.6100000000001,5,1,2,8,1
CM-12160,3194,6,2533.3199999999997,5,3,3,11,1
CM-12190,3176,6,1475.14,5,3,2,10,1
CM-12235,3553,5,2305.71,1,2,3,6,3
CM-12385,3205,4,8954.01,4,1,5,10,2
CM-12445,3604,3,288.0,1,1,1,3,3
CM-12655,3195,6,6339.56,4,3,5,12,0
CM-12715,4203,4,3984.4500000000003,1,1,4,6,3
CP-12085,3250,8,5402.25,3,4,5,12,0
CP-12340,3328,8,5888.3,2,4,5,11,0
CR-12580,3225,4,2148.85,3,1,3,7,1
CR-12625,3638,3,475.9,1,1,1,3,3
CR-12730,3246,4,1600.55,3,1,2,6,1
CR-12820,3253,3,1397.88,3,1,2,6,1
CS-11845,3259,5,1278.96,3,2,2,7,1
CS-11860,3330,6,537.63,2,3,1,6,1
CS-11950,3193,11,3036.5299999999997,5,5,4,14,0
CS-12130,3657,4,884.64,1,1,1,3,3
CS-12175,3400,5,844.46,1,2,1,4,1
CS-12250,3194,12,2754.22,5,5,4,14,0
CS-12355,3174,11,3202.16,5,5,4,14,0
CS-12400,3170,9,3651.86,5,5,4,14,0
CS-12460,3195,2,550.64,4,1,1,6,1
CS-12490,3592,4,1077.23,1,1,2,4,3
CS-12505,3226,6,5690.07,3,3,5,11,0
CT-11995,3264,8,3241.9,3,4,4,11,0
CV-12295,3422,5,2830.63,1,2,4,7,1
CV-12805,3173,9,2370.33,5,5,3,13,0
CW-11905,3190,6,1136.5900000000001,5,3,2,10,1
CY-12745,3228,8,2900.02,3,4,4,11,0
Co-12640,3717,5,1300.08,1,2,2,5,3
DA-13450,3520,4,156.76,1,1,1,3,3
DB-12910,3189,8,2171.61,5,4,3,12,0
DB-12970,3409,5,2839.23,1,2,4,7,1
DB-13060,3184,7,4531.65,5,3,5,13,0
DB-13120,3216,7,2973.09,4,3,4,11,0
DB-13210,3177,10,2332.5699999999997,5,5,3,13,0
DB-13270,3221,8,4655.900000000001,4,4,5,13,0
DB-13360,3432,5,1081.47,1,2,2,5,1
DB-13405,3355,4,1711.69,2,1,2,5,1
DB-13555,3275,7,3908.8,2,3,4,9,0
DB-13615,3201,7,1989.05,4,3,3,10,0
DB-13660,3180,7,1155.21,5,3,2,10,1
DC-12850,3205,9,3336.17,4,5,4,13,0
DC-13285,3191,5,1174.6200000000001,5,2,2,9,1
DD-13570,3209,6,269.53000000000003,4,3,1,8,1
DE-13255,3887,5,2550.87,1,2,3,6,3
DF-13135,3868,3,2390.54,1,1,3,5,3
DG-13300,3200,5,3195.82,4,2,4,10,1
DH-13075,3445,6,4932.87,1,3,5,9,0
DH-13675,3944,4,1043.09,1,1,2,4,3
DJ-13420,3805,4,2012.52,1,1,3,5,3
DJ-13510,3216,8,2501.69,4,4,3,11,0
DJ-13630,3180,3,3356.4,5,1,4,10,1
DK-12835,3189,12,3256.48,5,5,4,14,0
DK-12895,3213,5,4282.16,4,2,4,10,1
DK-12985,3175,5,1687.0300000000002,5,2,2,9,1
DK-13090,3210,7,2650.5499999999997,4,3,3,10,0
DK-13150,3178,2,797.8299999999999,5,1,1,7,1
DK-13225,3178,9,4802.39,5,5,5,15,0
DK-13375,3187,8,3318.49,5,4,4,13,0
DL-12865,3268,8,1503.12,3,4,2,9,0
DL-12925,3225,6,3272.2,3,3,4,10,1
DL-13315,3190,8,1458.25,5,4,2,11,0
DL-13330,3225,4,585.02,3,1,1,5,1
DL-13495,3244,8,3539.32,3,4,4,11,0
DM-12955,3282,7,1322.03,2,3,2,7,1
DM-13015,3225,7,6345.09,3,3,5,11,0
DM-13345,3190,8,4074.4700000000003,5,4,4,13,0
DM-13525,3649,3,1376.8,1,1,2,4,3
DN-13690,3385,7,2139.79,2,3,3,8,0
DO-13435,3301,9,1300.03,2,5,2,9,0
DO-13645,3194,7,1267.32,5,3,2,10,1
DP-13000,3294,9,1050.63,2,5,2,9,0
DP-13105,3174,8,2214.9900000000002,5,4,3,12,0
DP-13165,3980,2,1058.62,1,1,2,4,3
DP-13390,3526,9,5480.73,1,5,5,11,0
DR-12880,3171,9,6528.03,5,5,5,15,0
DR-12940,3218,8,8350.87,4,4,5,13,2
DS-13030,3261,4,1762.21,3,1,3,7,1
DS-13180,3191,9,2881.8,5,5,4,14,0
DV-13045,3187,5,1119.48,5,2,2,9,1
DV-13465,3197,6,3341.58,4,3,4,11,1
DW-13195,3237,6,1080.76,3,3,2,8,1
DW-13480,3385,5,5271.63,2,2,5,9,1
DW-13540,3266,5,344.08,3,2,1,6,1
DW-13585,3410,7,1204.85,1,3,2,6,1
Dl-13600,3287,5,755.6,2,2,1,5,1
Dp-13240,3252,11,7198.77,3,5,5,13,2
EA-14035,3320,13,2846.71,2,5,4,11,0
EB-13705,3216,9,3644.97,4,5,4,13,0
EB-13750,3203,10,3236.32,4,5,4,13,0
EB-13840,3258,5,4358.13,3,2,5,10,1
EB-13870,3268,10,2767.2200000000003,3,5,4,12,0
EB-13930,3329,5,944.6000000000001,2,2,1,5,1
EB-13975,3168,4,1643.2600000000002,5,1,2,8,1
EB-14110,3281,6,3071.14,2,3,4,9,1
EB-14170,3250,6,1186.33,3,3,2,8,1
EC-14050,3221,5,461.90999999999997,4,2,1,7,1
ED-13885,3303,8,3484.9100000000003,2,4,4,10,0
EG-13900,3190,5,1832.02,5,2,3,10,1
EH-13765,3303,12,10310.869999999999,2,5,5,12,2
EH-13945,3385,8,684.18,2,4,1,7,0
EH-13990,3573,6,825.9499999999999,1,3,1,5,3
EH-14005,3170,7,1219.52,5,3,2,10,1
EH-14125,3320,10,3082.64,2,5,4,11,0
EH-14185,3273,6,923.88,2,3,1,6,1
EJ-13720,3470,4,2162.1800000000003,1,1,3,5,1
EJ-14155,3225,5,2656.69,3,2,3,8,1
EK-13795,3212,4,1303.48,4,1,2,7,1
EL-13735,3245,2,124.28,3,1,1,5,1
EM-13810,3300,5,2567.0,2,2,3,7,1
EM-13825,3223,8,2339.6,3,4,3,10,0
EM-13960,3319,5,933.6999999999999,2,2,1,5,1
EM-14065,3215,4,228.99,4,1,1,6,1
EM-14095,3281,4,1041.04,2,1,2,5,1
EM-14140,3216,6,4588.44,4,3,5,12,0
EM-14200,3326,3,366.83,2,1,1,4,1
EN-13780,3455,4,2199.36,1,1,3,5,1
EP-13915,3180,17,5478.06,5,5,5,15,0
ER-13855,3589,3,1245.79,1,1,2,4,3
ES-14020,3208,5,3510.46,4,2,4,10,1
ES-14080,3196,9,4657.93,4,5,5,14,0
FA-14230,3265,7,2984.05,3,3,4,10,0
FC-14245,3238,7,3418.7400000000002,3,3,4,10,0
FC-14335,3352,7,3889.36,2,3,4,9,0
FG-14260,3202,7,1383.1299999999999,4,3,2,9,0
FH-14275,3205,10,4256.28,4,5,4,13,0
FH-14350,3380,4,2271.29,2,1,3,6,1
FH-14365,3173,8,6987.2,5,4,5,14,2
FM-14215,3175,10,2456.64,5,5,3,13,0
FM-14290,3204,9,3736.2,4,5,4,13,0
FM-14380,3313,9,2523.26,2,5,3,10,0
FO-14305,3206,10,2678.4300000000003,4,5,3,12,0
FP-14320,3191,8,4046.75,5,4,4,13,0
FW-14395,3530,3,79.75,1,1,1,3,3
GA-14515,3317,8,3919.77,2,4,4,10,0
GA-14725,3173,11,1398.3899999999999,5,5,2,12,0
GB-14530,3230,11,1568.44,3,5,2,10,0
GB-14575,3181,5,4716.3,5,2,5,12,1
GD-14590,3173,4,1888.0800000000002,5,1,3,9,1
GG-14650,3211,9,2223.99,4,5,3,12,0
GH-14410,3243,9,2819.46,3,5,4,12,0
GH-14425,3218,4,4172.84,4,1,4,9,1
GH-14485,3555,2,1361.24,1,1,2,4,3
GH-14665,3170,2,146.94,5,1,1,7,1
GK-14620,3280,9,6497.280000000001,2,5,5,12,2
GM-14440,3251,7,3582.8199999999997,3,3,4,10,0
GM-14455,3184,6,3078.63,5,3,4,12,1
GM-14500,3274,10,1255.6799999999998,2,5,2,9,0
GM-14680,3320,6,3163.63,2,3,4,9,1
GM-14695,3285,3,6049.959999999999,2,1,5,8,1
GP-14740,3933,2,236.53,1,1,1,3,3
GR-14560,4303,2,1284.38,1,1,2,4,3
GT-14635,3224,3,9351.199999999999,3,1,5,9,2
GT-14710,3204,11,11820.12,4,5,5,14,2
GT-14755,3202,4,226.43,4,1,1,6,1
GW-14605,3196,7,2189.02,4,3,3,10,0
GZ-14470,3175,9,4355.150000000001,5,5,5,15,0
GZ-14545,3325,4,2454.62,2,1,3,6,1
HA-14905,3237,7,2163.3199999999997,3,3,3,9,0
HA-14920,3188,8,2584.17,5,4,3,12,0
HD-14785,3937,3,251.36,1,1,1,3,3
HE-14800,3180,4,883.53,5,1,1,7,1
HF-14995,3189,7,2533.16,5,4,3,12,0
HG-14845,3222,5,785.62,3,2,1,6,1
HG-14965,3191,12,3247.65,5,5,4,14,0
HG-15025,3174,7,3690.2799999999997,5,4,4,13,0
HH-15010,3240,2,218.67000000000002,3,1,1,5,1
HJ-14875,3294,5,358.1,2,2,1,5,1
HK-14890,3319,8,4877.8,2,4,5,11,0
HL-15040,3211,6,12873.3,4,3,5,12,2
HM-14860,3170,10,8236.76,5,5,5,15,2
HM-14980,3415,4,736.28,1,1,1,3,1
HP-14815,3198,7,1990.3100000000002,4,4,3,11,0
HR-14770,3181,5,1299.29,5,2,2,9,1
HR-14830,3327,7,5248.8,2,4,5,11,0
HW-14935,3285,8,9300.25,2,4,5,11,2
HZ-14950,3203,5,886.5199999999999,4,2,1,7,1
IG-15085,3239,4,744.5699999999999,3,1,1,5,1
IL-15100,3310,7,5040.74,2,4,5,11,0
IM-15055,3577,3,2872.63,1,1,4,6,3
IM-15070,3558,7,4930.49,1,4,5,10,0
JA-15970,3260,8,6491.03,3,4,5,12,2
JB-15400,3175,10,1791.62,5,5,3,13,0
JB-15925,3905,3,900.55,1,1,1,3,3
JB-16000,3211,7,644.12,4,4,1,9,1
JB-16045,3175,5,2518.11,5,2,3,10,1
JC-15340,3282,4,71.27,2,1,1,4,1
JC-15385,3343,1,1058.1100000000001,2,1,2,5,1
JC-15775,3326,9,2772.06,2,5,4,11,0
JC-16105,3225,5,858.5699999999999,3,2,1,6,1
JD-15790,3285,5,2152.35,2,2,3,7,1
JD-15895,3562,11,7610.87,1,5,5,11,2
JD-16015,3280,6,385.43,2,3,1,6,1
JD-16060,3468,3,695.4399999999999,1,1,1,3,1
JD-16150,3209,8,8828.039999999999,4,4,5,13,2
JE-15475,3361,6,1388.69,2,3,2,7,1
JE-15610,3216,7,7754.97,4,4,5,13,2
JE-15715,3214,10,8697.86,4,5,5,14,2
JE-15745,3219,13,6760.8099999999995,4,5,5,14,2
JE-16165,3188,3,2697.25,5,1,3,9,1
JF-15190,3233,7,2279.59,3,4,3,10,0
JF-15295,3393,5,955.12,1,2,1,4,1
JF-15355,3273,6,1911.8400000000001,2,3,3,8,1
JF-15415,3170,6,2371.45,5,3,3,11,1
JF-15490,3289,11,1082.92,2,5,2,9,0
JF-15565,3222,8,4198.32,3,4,4,11,0
JG-15115,3926,3,2358.6600000000003,1,1,3,5,3
JG-15160,3169,11,6366.4,5,5,5,15,0
JG-15310,3170,6,2240.58,5,3,3,11,1
JG-15805,3391,6,1507.02,2,3,2,7,1
JH-15430,3173,4,309.28999999999996,5,1,1,7,1
JH-15820,3342,6,528.92,2,3,1,6,1
JH-15910,3209,7,959.48,4,4,1,9,1
JH-15985,3197,6,7954.99,4,3,5,12,2
JH-16180,3572,4,2256.39,1,1,3,5,3
JJ-15445,3651,5,709.1700000000001,1,2,1,4,3
JJ-15760,3921,2,195.0,1,1,1,3,3
JK-15205,3229,5,4427.14,3,2,5,10,1
JK-15325,3455,3,383.80999999999995,1,1,1,3,1
JK-15370,3212,8,2709.62,4,4,3,11,0
JK-15625,3229,7,3760.0299999999997,3,4,4,11,0
JK-15640,3348,9,4760.44,2,5,5,12,0
JK-15730,3252,10,4867.21,3,5,5,13,0
JK-16090,3196,3,3747.66,4,1,4,9,1
JK-16120,3285,10,2932.49,2,5,4,11,0
JL-15130,3176,6,1214.95,5,3,2,10,1
JL-15175,3174,5,1571.52,5,2,2,9,1
JL-15235,3287,5,2203.7,2,2,3,7,1
JL-15505,3217,6,3173.87,4,3,4,11,1
JL-15835,3189,11,9799.94,5,5,5,15,2
JL-15850,3782,6,2725.25,1,3,3,7,3
JM-15250,3205,6,3159.11,4,3,4,11,1
JM-15265,3205,5,1804.14,4,2,3,9,1
JM-15535,3270,7,1733.45,3,4,2,9,0
JM-15580,3168,5,303.94,5,2,1,8,1
JM-15655,3176,5,864.95,5,2,1,8,1
JM-15865,3277,7,7625.070000000001,2,4,5,11,2
JM-16195,3225,10,2833.92,3,5,4,12,0
JO-15145,3225,9,3254.9500000000003,3,5,4,12,0
JO-15280,3260,6,1934.27,3,3,3,9,1
JO-15550,3383,5,1090.85,2,2,2,6,1
JP-15460,3205,7,1669.1299999999999,4,4,2,10,0
JP-15520,3176,7,3635.59,5,4,4,13,0
JP-16135,3270,9,1707.71,3,5,2,10,0
JR-15670,3761,2,1156.6599999999999,1,1,2,4,3
JR-15700,3236,1,863.88,3,1,1,5,1
JR-16210,3201,5,2201.69,4,2,3,9,1
JS-15595,3287,4,1417.65,2,1,2,5,1
JS-15685,3210,4,1131.07,4,1,2,7,1
JS-15880,3702,5,3868.0099999999998,1,2,4,7,3
JS-15940,3631,5,469.16,1,2,1,4,3
JS-16030,3196,6,2516.49,4,3,3,10,1
JW-15220,3210,6,7721.71,4,3,5,12,2
JW-15955,3173,7,1244.09,5,4,2,11,1
JW-16075,3629,4,1428.73,1,1,2,4,3
KA-16525,3204,7,1519.51,4,4,2,10,0
KB-16240,3172,7,3152.61,5,4,4,13,0
KB-16315,3464,9,1569.45,1,5,2,8,0
KB-16405,3285,3,908.8199999999999,2,1,1,4,1
KB-16585,3398,12,2744.7400000000002,1,5,3,9,0
KB-16600,3169,7,983.9300000000001,5,4,2,11,1
KC-16255,3575,6,2120.9500000000003,1,3,3,7,3
KC-16540,3265,4,3908.27,3,1,4,8,1
KC-16675,3225,4,1146.05,3,1,2,6,1
KD-16270,3652,5,8282.36,1,2,5,8,2
KD-16345,3209,6,1888.96,4,3,3,10,1
KD-16495,3280,12,8181.240000000001,2,5,5,12,2
KD-16615,3457,5,2243.5099999999998,1,2,3,6,1
KE-16420,3194,8,1686.73,5,4,2,11,0
KF-16285,3265,7,10604.26,3,4,5,12,2
KH-16330,3208,8,3312.87,4,4,4,12,0
KH-16360,3169,6,3100.6,5,3,4,12,1
KH-16510,3190,7,5952.860000000001,5,4,5,14,0
KH-16630,3226,9,3918.96,3,5,4,12,0
KH-16690,3170,7,5990.79,5,4,5,14,0
KL-16555,3184,8,5016.47,5,4,5,14,0
KL-16645,3215,12,14175.23,4,5,5,14,2
KM-16225,3182,6,2260.95,5,3,3,11,1
KM-16375,3224,8,5620.18,3,4,5,12,0
KM-16660,3183,5,453.53999999999996,5,2,1,8,1
KM-16720,3196,8,4909.47,4,4,5,13,0
KN-16390,3187,9,2617.29,5,5,3,13,0
KN-16450,3220,5,2171.97,4,2,3,9,1
KN-16705,3266,8,2280.58,3,4,3,10,0
KS-16300,3463,3,88.47,1,1,1,3,1
KT-16465,3559,7,3057.1,1,4,4,9,3
KT-16480,3268,10,4642.1,3,5,5,13,0
KW-16435,3264,5,4416.52,3,2,5,10,1
KW-16570,3939,4,449.1,1,1,1,3,3
LA-16780,3322,11,8673.23,2,5,5,12,2
LB-16735,3216,3,50.19,4,1,1,6,1
LB-16795,3320,8,4985.68,2,4,5,11,0
LC-16870,3195,8,2580.71,4,4,3,11,0
LC-16885,3184,12,7663.13,5,5,5,15,2
LC-16930,3209,8,4492.9400000000005,4,4,5,13,0
LC-16960,3604,4,3246.63,1,1,4,6,3
LC-17050,3222,5,2095.06,3,2,3,8,1
LC-17140,3181,9,2633.57,5,5,3,13,0
LD-16855,3720,1,5.3,1,1,1,3,3
LD-17005,3582,4,1961.9299999999998,1,1,3,5,3
LE-16810,3189,6,1469.45,5,3,2,10,1
LF-17185,3190,7,3930.52,5,4,4,13,0
LH-16750,3319,3,287.43,2,1,1,4,1
LH-16900,3189,9,2295.32,5,5,3,13,0
LH-17020,3407,4,318.23,1,1,1,3,1
LH-17155,3553,9,1739.69,1,5,3,9,0
LL-16840,3417,6,2741.2,1,3,3,7,1
LM-17065,3559,5,1346.78,1,2,2,5,3
LO-17170,3170,5,644.35,5,2,1,8,1
LP-17080,3208,4,756.6,4,1,1,6,1
LP-17095,3177,7,3653.4,5,4,4,13,0
LR-16915,3194,6,5142.89,5,3,5,13,0
LR-17035,3300,5,1879.3,2,2,3,7,1
LS-16945,3346,6,2845.27,2,3,4,9,1
LS-16975,3188,9,2988.65,5,5,4,14,0
LS-17200,3264,6,1010.25,3,3,2,8,1
LS-17230,3945,3,368.88,1,1,1,3,3
LS-17245,3202,6,1008.14,4,3,2,9,1
LT-16765,3194,3,329.87,5,1,1,7,1
LT-17110,3202,8,2936.26,4,4,4,12,0
LW-16825,3256,5,2238.06,3,2,3,8,1
LW-16990,3201,6,3230.3,4,3,4,11,1
LW-17125,3373,3,1259.04,2,1,2,5,1
LW-17215,3189,7,5420.5199999999995,5,4,5,14,0
MA-17560,3232,11,4299.16,3,5,5,13,0
MA-17995,3354,6,2453.2900000000004,2,3,3,8,1
MB-17305,3216,10,1548.71,4,5,2,11,0
MB-18085,3212,7,1428.24,4,4,2,10,0
MC-17275,3244,8,2725.98,3,4,3,10,0
MC-17425,3567,5,4432.139999999999,1,2,5,8,3
MC-17575,3195,8,1303.89,4,4,2,10,0
MC-17590,3219,6,2426.07,4,3,3,10,1
MC-17605,3280,8,2258.2,2,4,3,9,0
MC-17635,3357,4,795.15,2,1,1,4,1
MC-17845,3169,7,3805.71,5,4,4,13,0
MC-18100,3209,10,2218.99,4,5,3,12,0
MC-18130,3537,5,1581.99,1,2,2,5,3
MD-17350,3285,7,3766.4,2,4,4,10,0
MD-17860,3204,5,1204.91,4,2,2,8,1
ME-17320,3210,10,10663.73,4,5,5,14,2
ME-17725,3196,8,1908.45,4,4,3,11,0
ME-18010,3260,4,1256.95,3,2,2,7,1
MF-17665,3589,5,937.05,1,2,1,4,3
MF-18250,3175,5,1758.3,5,2,3,10,1
MG-17650,3197,7,3785.28,4,4,4,12,0
MG-17680,3260,4,2350.2000000000003,3,2,3,8,1
MG-17695,3723,3,1342.29,1,1,2,4,3
MG-17875,3284,5,1242.84,2,2,2,6,1
MG-17890,3267,9,776.39,3,5,1,9,0
MG-18145,3252,4,3061.54,3,2,4,9,1
MG-18205,3432,1,16.740000000000002,1,1,1,3,1
MH-17290,3287,6,2394.02,2,3,3,8,1
MH-17440,3544,4,400.02,1,2,1,4,3
MH-17455,3253,8,2456.1800000000003,3,4,3,10,0
MH-17620,3323,4,1252.8,2,2,2,6,1
MH-17785,3266,7,2203.78,3,4,3,10,0
MH-18025,3217,5,2984.95,4,2,4,10,1
MH-18115,3173,9,5503.09,5,5,5,15,0
MJ-17740,3190,7,6320.75,5,4,5,14,0
MK-17905,3196,8,2302.36,4,4,3,11,0
MK-18160,3408,4,1031.6000000000001,1,2,2,5,1
ML-17395,3237,9,2722.84,3,5,3,11,0
ML-17410,3222,6,2921.5099999999998,3,3,4,10,1
ML-17755,3197,7,2071.91,4,4,3,11,0
ML-18040,3247,3,742.08,3,1,1,5,1
ML-18265,3268,2,162.23000000000002,3,1,1,5,1
